,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
16540,4,Wayne,Savannah (Town),3.1 MI SE JCT RTS 31 +414,31  31 37061206,BLACK CREEK,NYSDOT,1965,8,28
15765,8,Ulster,Denning (Town),.5 MILE SW OF SUNDOWN,COUNTY ROAD 46,DEAN BROOK,County,2001,8,28
3607,8,Columbia,Kinderhook (Town),1.5 MI S JCT RTS 9H+9,9H  9H81011174,9   9 81063127,NYSDOT,1937,8,28
2490,5,Chautauqua,North Harmony (Town),AT ORIENTAL PARK,86I 17 52111192,CHAUTAUQUA LAKE,NYSDOT,1982,8,28
6949,7,Jefferson,Le Ray (Town),1.5 MI.N.OF EVANS MILLS,ELM RIDGE ROAD,INDIAN RIVER,County,1962,8,28
10702,8,Orange,Crawford (Town),1.0 MI W JCT RTS 52 & 302,ULSTERVILLE ROAD,SHAWANGUNK KILL,County,1921,8,28
9061,11,New York,New York (City),BT RAMP W99 AT LINCOLN TU,BUS RAMP W99,DYER AVENUE  & WEST 40th STREET,Port Authority of NY and NJ,1950,8,28
15747,3,Tompkins,Ulysses (Town),1.2 MI SE SENECA CL;RTE89,89  89 36012076,TAUGHANNOCK CREEK,NYSDOT,1926,8,28
4874,5,Erie,Buffalo (City),JCT.RTS.198 & I-190,190IX SB ON-RAMP E FROM NY 198,190IX,NYSDOT,1963,8,28
335,1,Albany,Westerlo (Town),3 MILES SW OF WESTERLO,COUNTY ROAD 404,BASIC RESERVOIR,County,1935,8,28
3068,9,Chenango,Mcdonough (Town),2 MI S OF EAST MCDONOUGH,INGRAHAM ROAD,BOWMAN CREEK,County,2005,8,28
12373,1,Rensselaer,Hoosick (Town),SH 7 - BENNINGTON BYPASS,915G 915G14011006,DAILEY ACCESS RD,NYSDOT,2001,8,28
12372,1,Rensselaer,Hoosick (Town),SH 7 - BENNINGTON BYPASS,915G 915G14011004,FARMERS INN ROAD,NYSDOT,2001,8,28
2366,5,Chautauqua,Falconer (Village),AT FALCONER,S PHETTE PLACE ST,CHADAKOIN RIVER,County,1934,8,28
1402,9,Broome,Union (Town),.3 mi NE Nanticoke Dr & B,CARRIE ANNE DRIVE,BRADLEY CREEK,Town,2011,8,28
10622,8,Orange,Blooming Grove (Town),BETWEEN EX 129-130 - US6,17  17 83101218,ORANGE-ROCKLAND LAKE,NYSDOT,1956,8,28
13706,7,St Lawrence,Canton (Village),VIL CANTON-.3 MI E JCT68W,11  11 75061306,GRASSE RIVER,NYSDOT,1981,8,28
12711,11,Richmond,New York (City),IN NEW DORP,NEW DORP LANE,SIRT SOUTH SHORE,Metropolitan Transportation Authority,1952,8,28
6534,2,Hamilton,Speculator (Village),Military Rd - Jessup Rive,Jessup River Road,Jessup River,NYS Dept of Environmental Conservation,2011,8,28
4191,9,Delaware,Middletown (Town),1.0 MI W OF MARGARETVILLE,N.Y.C. ROAD,HUCKLEBERRY BROOK,"NYC Dept of Water Supply, Gas and Electric",1954,8,28
2071,3,Cayuga,Locke (Town),1 MILE SE OF LOCKE,CAT PATH ROAD,OWASCO INLET,Town,1963,8,28
8036,4,Monroe,Greece (Town),ACROSS LONG POND,947A947A43021170,NORTHRUP CREEK,NYSDOT,1954,8,28
5840,7,Franklin,Chateaugay (Town),3.1MI N THAYER CORNERS,SAM COOK ROAD,CHATEAUGAY RIVER,County,1949,8,28
6985,7,Jefferson,Pamelia (Town),.6 MT N JCT RTE 12&I81,12  12 73063010,PHILOMEL CREEK,NYSDOT,1985,8,28
4192,9,Delaware,Middletown (Town),JCT NYC RD & MILL BR RD,N.Y.C. ROAD,MILL BROOK,"NYC Dept of Water Supply, Gas and Electric",1954,8,28
