,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
9456,5,Niagara,Wheatfield (Town),.4 MI S JCT 952V & US 62,952V952V54011015,BERGHOLTZ CREEK,NYSDOT,1963,11,2
3804,3,Cortland,Solon (Town),2.5 MI NE OF MCGRAW,CO RD 157,MAYBURY BROOK,County,1952,11,2
7888,4,Monroe,Brighton (Town),1 MI E JCT ERIE CNL&SH15A,SOUTH CLINTON AVE,SERVICE ROAD,NYSDOT,1981,11,2
16863,8,Westchester,Mount Pleasant (Town),0.7 MI E JCT RTS 117+9,117 117 87011107,SLEEPY HOLLOW RD,NYSDOT,1970,11,2
11894,11,Queens,New York (City),I278 OVER HELLGATE,278I278I04041016,City Streets,MTA Bridges and Tunnels (aka TBTA),1936,11,2
5241,5,Erie,Hamburg (Town),0.6 MI NE OF INT 57,Sowles Road - County Road 162,90 IX,NYS Thruway Authority,1955,11,2
11961,11,Queens,New York (City),2 MILES E JCT I495 & I278,495I495IX5M13044,CSX TRANS/CPR&P&W,NYSDOT,1954,11,2
11956,11,Queens,New York (City),2 MILES E JCT I495 & I278,495I495IX5C14B14,CSX TRANS/CPR&P&W,NYSDOT,1988,11,2
11950,11,Queens,New York (City),2 MILES E JCT I495 & I278,495I495IX5C13B02,CSX TRANS/CPR&P&W,NYSDOT,1988,11,2
8252,4,Monroe,Pittsford (Town),0.8MI NE JCT 441+I490EAST,441 441 43011110,CSX TRANS/AMTRAK,NYSDOT,1971,11,2
766,11,Bronx,New York (City),JCT I87+I95,87I 87IX1MR06F2,87I  87IX1M11033,NYSDOT,1964,11,3
12627,11,Richmond,New York (City),0.5 MI S OF FRESH KILLS,440  440 X6M12043,CRK AT STA 182+70,NYSDOT,1968,11,3
8869,10,Nassau,Oyster Bay (Town),1.5 MI E JCT RTS 27+135,27  27 03041144,MASSAPEQUA CREEK,NYSDOT,1927,11,3
16582,8,Westchester,Bedford (Town),.1 MI W JCT SH 35 + I684,35  35 87012132,MNRR HA  LINE,NYSDOT,1967,11,3
5169,5,Erie,Evans (Town),2.1 MI.E OF ANGOLA,GOWANS ROAD  (C.R 489),90IX,NYS Thruway Authority,1956,11,3
589,6,Allegany,Granger (Town),1 MI N OF SHORT TRACT,COUNTY ROAD 15,RUSH CREEK,County,1994,11,3
8297,4,Monroe,Rochester (City),1.6 MI E JCT I490 & R.O.L,490I490I43022012,CSX TRANS/AMTRAK,NYSDOT,1971,11,3
12448,1,Rensselaer,Rensselaer (City),JCT OF US 9 & 20 / SH 9J,9   9 14071123,9J  9J14022009,NYSDOT,1930,11,4
16844,8,Westchester,Mount Kisco (Village),0.2 MI W JCT RTS 133+117,133 133 87011085,MNRR HA LINE,NYSDOT,1955,11,4
275,1,Albany,Menands (Village),.1 MI E JCT SH377 & SH378,378 378 11011016,DELAWARE & HUDSON,NYSDOT,2004,11,4
274,1,Albany,Menands (Village),.9 MI S JCT SH 32 & SH378,32   32 11043009,DELAWARE & HUDSON,NYSDOT,2004,11,4
14053,6,Steuben,Bath (Town),1.7 MI NW OF BATH - I86,86I 17 64044235,TRIB COHOCTON RVR,NYSDOT,1972,11,4
14994,9,Sullivan,Bethel (Town),IN BRISCOE,WILLI HILL ROAD,BRISCOE LAKE,County,2017,11,4
3000,9,Chenango,Bainbridge (Town),1.7 MI N OF BAINBRIDGE,COUNTY ROAD 38,YALEVILLE BROOK,County,1935,11,4
3055,9,Chenango,Guilford (Town),3.4 mi north of NYS Rte 7,CR 38,Trib Yaleville Br,County,2013,11,4
3780,3,Cortland,Marathon (Village),.2 MI W JCT SH 221 & US11,221 221 32011115,TIOUGHNIOGA RIVER,NYSDOT,1932,11,4
11623,9,Otsego,Otego (Town),0.3 mi NE CR7 @ Lower Gre,LOWER GREEN STREET,E BR OTSDAWA CREEK,County,2007,11,4
2617,5,Chautauqua,Sherman (Town),2.2 MI E JCT SH 430 & I86,86I 17 52111080,FRENCH CREEK,NYSDOT,1973,11,4
11625,9,Otsego,Otego (Town),0.2 mi E CR7 @ Upper Gree,UPPER GREEN STREET,E BR OTSDAWA CREEK,County,2013,11,4
5067,5,Erie,Collins (Town),1.7 MILES S OF LAWTONS,TAYLOR HOLLOW RD,CLEAR CREEK,County,1958,11,4
14431,6,Steuben,Jasper (Town),5.5 MILES WEST OF JASPER,ALVORD HILL ROAD,WOODWARD HLLOW CK,Town,1972,11,4
13895,7,St Lawrence,Pitcairn (Town),4 MI SW OF FINE,GREENWOOD ROAD,GREENWOOD CREEK,County,1981,11,4
1471,9,Broome,Whitney Point (Village),JCT RTE 26+TIOUGHNIOGA R,26  26 91011282,TIOUGHNIOGA RIVER,NYSDOT,2017,11,4
14844,10,Suffolk,Islip (Town),2 MI E JCT RTS 231+SSP,BAY SHORE ROAD,RMC NB TO SSP EB,NYSDOT,1950,11,4
3047,9,Chenango,Greene (Village),TOWN OF GREENE,N CANAL STREET,BIRDSALL BROOK,Town,1991,11,4
13286,1,Schenectady,Rotterdam (Town),1.7 MI S JCT SH 7 & SH158,158 158 16021010,CSX TRANSPRTATION,NYSDOT,1990,11,4
3007,9,Chenango,Columbus (Town),6.5 MI NE OF COLUMBUS,COUNTY ROAD 41,TALLETTE CREEK,County,1944,11,4
6672,2,Herkimer,Middleville (Village),01MI  N JCT RTS 29+28,28  28 23041206,MULTANNER CREEK,NYSDOT,2017,11,4
3015,9,Chenango,Earlville (Village),.5 MI E JCT SH12B & CR14A,COUNTY ROAD 14A,SANGERFIELD RIVER,County,1990,11,4
3080,9,Chenango,New Berlin (Village),VILLAGE OF NEW BERLIN,HILL STREET,PAPER MILL BROOK,County,1930,11,4
4521,8,Dutchess,Poughkeepsie (City),1.0 MI N JCT RTS 9+376,9   9 82052015,LAUREL STREET,NYSDOT,1965,11,4
5066,5,Erie,Collins (Town),1.1 MILES SW OF LAWTONS,TAYLOR HOLLOW RD,CLEAR CREEK,County,1958,11,4
14317,6,Steuben,Greenwood (Town),0.7 MI SE OF GREENWOOD,COUNTY ROAD 126,FISHER HOLLOW CRK,County,1989,11,4
14437,6,Steuben,Jasper (Town),2.2 MI S OF SO CANISTEO,COUNTY ROAD 31,MILWAUKEE CREEK,County,1991,11,4
8231,4,Monroe,Perinton (Town),1.5MI NW JCT I490 + 96,490I490I43023071,KREAG ROAD,NYSDOT,1954,11,4
3853,3,Cortland,Willet (Town),4.5 MILES E OF MARATHON,LANDERS CORNRS RD,OTSELIC RIVER,County,1891,11,4
17374,4,Wyoming,Bennington (Town),.6 MI SE OF FOLSOMDALE,SCHOELLKOPF ROAD,CAYUGA CREEK,County,1933,11,4
5506,5,Erie,West Seneca (Town),TOWN OF WEST SENECA,90IX,950M - Potters Road,NYS Thruway Authority,1956,11,4
5489,5,Erie,West Seneca (Town),.6 MI S JCT US 219 & I90,219 219 53121259,NORFOLK SOUTHERN,NYSDOT,1972,11,4
16650,8,Westchester,Cortlandt (Town),1.5 MI NE CROTON ON HUD.,CROTON DAM ROAD,CROTON RES OUTLET,"NYC Dept of Water Supply, Gas and Electric",1904,11,4
10944,8,Orange,Wallkill (Town),JCT SH 17 & I84,17  17 83101083,84I 84I83011192,NYSDOT,1968,11,4
3215,9,Chenango,Smyrna (Town),0.03 MI SO OF UPPERVILLE,QUAKER HILL RD 34,PLEASANT BROOK,County,2017,11,4
10952,8,Orange,Wallkill (Town),.4 mi SE JCT RTS. 211 & 1,17 17 83101079,Mall Road,NYSDOT,2009,11,4
5485,5,Erie,West Seneca (Town),1.1 MI S JCT RTE 219 +I90,219  219 53021255,90I X,NYSDOT,1972,11,4
4556,8,Dutchess,Poughkeepsie (Town),JCT RTS 55&44 E OF POUGHK,55   55 82032006,44   44 82022005,NYSDOT,1979,11,4
14552,6,Steuben,Tuscarora (Town),3.7 MI S OF ADDISON,STEAD SCHOOL ROAD,N BR GLENDENNING,Town,1963,11,4
2980,9,Chenango,Afton (Town),COUNTY ROAD 17,COUNTY ROAD 17,WILKINS BROOK,County,2013,11,4
5490,5,Erie,West Seneca (Town),.6 MI S JCT US 219 & I90,219 219 53121259,NORFOLK SOUTHERN,NYSDOT,1972,11,4
9708,2,Oneida,Rome (City),JCT  RTS 46+26,26  26 26052010,46  46 26022018,NYSDOT,1960,11,4
3178,9,Chenango,Sherburne (Town),1.2 MI NO OF SHERBURNE,COUNTY RD 24,HANDSOME BROOK,County,2003,11,4
15349,9,Sullivan,,0.24 mi N Jct Joyland Rd,RESORTS WORLD DRIVE,UNKNOWN STREAM,Town,2017,11,5
5306,5,Erie,Lancaster (Village),1.5 MI NE JCT SH130 &SH78,COMMERCE PARKWAY,CENTRAL AVENUE,Village,1950,11,5
9546,2,Oneida,Camden (Town),3.25 MI SW OF CAMDEN,TRESTLE ROAD,W BR FISH CREEK,Town,1975,11,5
1531,5,Cattaraugus,Allegany (Town),0.4 MI E ALLEGANY INT.,86I 17 51123131,Five Mile Road,NYSDOT,1973,11,5
6796,7,Jefferson,Adams (Town),5.0 MI NW OF ADAMS CENTER,COUNTY ROAD 63,STONY CREEK,County,2001,11,5
4156,9,Delaware,Meredith (Town),3.7 MI SE OF DAVENPORT CT,W KORTRIGHT CH RD,SMALL STREAM,County,2000,11,5
17437,4,Wyoming,Pike (Town),3.2 MI WEST OF PIKE,GRIFFITH ROAD,EAST KOY CREEK,County,2012,11,5
15348,9,Sullivan,,0.24 mi N Jct Joyland Rd,RESORTS WORLD DRIVE,UNKNOWN STREAM,Town,2017,11,5
16544,4,Wayne,Savannah (Town),CARNCROSS RD. over SENECA,Carncross Road,Seneca River,NYS Dept of Environmental Conservation,2012,11,5
5966,7,Franklin,Waverly (Town),8.2 MI S OF SANTA CLARA,BLUE MOUNTAIN RD,ST REGIS RIVER,County,1986,11,5
398,6,Allegany,Amity (Town),1.5 MI S OF BELMONT,COUNTY ROAD 31A,GENESEE RIVER,County,1971,11,5
2566,5,Chautauqua,Pomfret (Town),0.8 MI S OF LAONA,SPODEN ROAD,CANADAWAY CREEK,County,1992,11,5
8293,4,Monroe,Rochester (City),I 490 EB over South Avenu,490I 490I 4302203,Ramp Z,NYSDOT,2006,11,5
8709,10,Nassau,Hempstead (Town),4.1 MI W JCT SSP + WSP,908M908M03011074,BROOKSIDE AVENUE,NYSDOT,1956,11,5
5948,7,Franklin,Santa Clara (Town),6.5 MI NW OF PAUL SMITHS,BLUE MOUNTAIN RD,ST REGIS RIVER,County,1968,11,5
