,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
8298,4,Monroe,Rochester (City),2.7MI E JCT ROL+I490 WEST,490I490I43022024,BROWN STREET,NYSDOT,1971,10,8
11420,3,Oswego,Schroeppel (Town),1.6 MI SE OF PENNELLVILLE,SUTTON ROAD,FISH CREEK,Town,1987,10,8
14504,6,Steuben,Rathbone (Town),1.4 MI NW OF RATHBONE,LEARN RD,TRACY CREEK,Town,1963,10,8
3705,3,Cortland,Cortlandville (Town),W VILLAGE LINE MCGRAW,ELM STREET,TROUT BROOK,County,1999,10,8
9237,5,Niagara,Hartland (Town),3 MI EAST OF WRIGHTS CORS,WHEELER ROAD,EIGHTEEN MILE CRK,County,2007,10,8
9248,5,Niagara,Lewiston (Town),RAMP P AT JCT RT 104&190I,190I190I54011061,190I190I54011065,NYSDOT,1962,10,8
4958,5,Erie,Buffalo (City),2.5 MI S JCT RTS I190<198,WEST FERRY STREET,BLACK ROCK CANAL,City,1913,10,8
642,6,Allegany,Rushford (Town),.8 MILE EAST OF RUSHFORD,243 243 61021053,BOONE CREEK,NYSDOT,2005,10,8
3218,9,Chenango,Smyrna (Village),IN SMYRNA,COUNTY ROAD 20,PLEASANT BROOK,County,1994,10,8
9233,5,Niagara,Hartland (Town),.8 MI NORTH OF MIDDLEPORT,PEARSON ROAD,JEDDO CREEK,County,2009,10,8
8245,4,Monroe,Perinton (Town),4.5 MI S OF E. ROCHESTER,Park Road,IRONDEQUOIT CREEK,County,2019,10,8
10991,8,Orange,Warwick (Town),3.0MI N JCT RTE94+NY-NJLI,94  94 83011030,MEADOW STREAM,NYSDOT,1930,10,8
7331,7,Lewis,Constableville (Village),AT CONSTABLEVILLE,COUNTY ROAD 48,SUGAR RIVER,County,2011,10,8
12205,11,Queens,New York (City),IN BAYSIDE,KENNEDY STREET,LONG ISLAND-PRT W,City,1928,10,8
11237,3,Oswego,Granby (Town),3.5 MI S OF FULTON,LEY CREEK ROAD,OX CREEK,County,1999,10,8
11313,3,Oswego,New Haven (Town),4.8 MILES NW OF MEXICO,SOPER MILLS ROAD,CATFISH CREEK,County,1930,10,8
11331,3,Oswego,Oswego (Town),3.0 MI SW OF OSWEGO,COUNTY ROAD 20,RICE CREEK,County,1935,10,8
5967,7,Franklin,Westville (Town),.25 MI SE JCT SH37 &CR122,37  37 72031183,SALMON RIVER,NYSDOT,1994,10,8
7811,2,Madison,Sullivan (Town),W CANASTOTA E CHITTENANGO,CANASERAGA ROAD,OLD ERIE CANAL,NYSDOT,1927,10,8
1322,9,Broome,Lisle (Village),HAMLET OF LISLE,WALKER AVENUE,DUDLEY CREEK,Town,1948,10,8
12292,11,Queens,New York (City),1.8 MI SSE I495+WDHVN BLV,WOODHAVEN BLVD,78TH AVENUE,NYSDOT,1938,10,8
7806,2,Madison,Sullivan (Town),3 MI SE OF BRIDGEPORT,BLACK CREEK ROAD,BLACK CREEK,County,2007,10,8
15715,3,Tompkins,Lansing (Town),1.6 MI N OF LUDLOWVILLE,SALMON CREEK ROAD,LOCKE CREEK,County,1935,10,8
15710,3,Tompkins,Lansing (Town),3 MILES SW OF LOCKE,LOCKE ROAD,TRIBUTARY HEMLOCK CREEK,County,1986,10,8
2739,6,Chemung,Big Flats (Town),3.7 MI WEST OF ELMIRA,BROOKLINE AVENUE,HENDY CREEK,County,1960,10,8
14702,10,Suffolk,Brookhaven (Town),4.7 MI E RTS 112+495,"BROADWAY,MAIN ST",495I495I07041288,NYSDOT,1970,10,8
15950,8,Ulster,Saugerties (Town),0.9 MI E OF RUBY,87IX,PLATTEKILL CREEK,NYS Thruway Authority,1950,10,8
4301,9,Delaware,Walton (Village),VILLAGE OF WALTON,BENTON AVENUE,EAST BROOK,County,2009,10,8
3216,9,Chenango,Smyrna (Town),1.6 MI WEST OS SMYRNA,STOWELL ROAD,PLEASANT BROOK,County,1999,10,8
7092,11,Kings,New York (City),JCT I278 & 27,27  27 X2M14001,27  27 X2MR0501,NYSDOT,1997,10,8
7089,11,Kings,New York (City),JCT I278 & RTE 27,27  27 X2M13001,27  27 X2MR0501,NYSDOT,1940,10,8
13173,1,Saratoga,Stillwater (Town),CITY OF MECHANICVILLE,ROUND LAKE AVE,ANTHONY KILL,County,1967,10,8
7091,11,Kings,New York (City),JCT I278 & 27,27  27 X2M14001,27  27 X2MR0501,NYSDOT,1997,10,8
9668,2,Oneida,New Hartford (Town),JUDD RD AND COMMERCIAL DR,Route 840,5ACOMMERCIAL DR,NYSDOT,2005,10,8
2402,5,Chautauqua,Hanover (Town),4.3 MI SW OF SILVR CK INT,90IX  (EB),WALNUT CREEK,NYS Thruway Authority,1954,10,8
2456,5,Chautauqua,Kiantone (Town),0.1 MI S JCT RTS 62 + 60,62  62 52011344,STILLWATER CREEK,NYSDOT,1969,10,8
2026,3,Cayuga,Aurelius (Town),1.6MI W JCT RTS 20 < 38,CLARK STREET ROAD,CRANE BROOK,County,1930,10,8
4976,5,Erie,Cheektowaga (Town),.2 ME E JCT RT 33 & I90,33   33 53012019,BEACH ROAD-CR 313,NYSDOT,2001,10,8
4977,5,Erie,Cheektowaga (Town),0.2 MI E JCT RT 33 & I90,33   33 53012019,BEACH ROAD-CR 313,NYSDOT,2000,10,8
2455,5,Chautauqua,Kiantone (Town),3.3 MI S JCT RTS 62 + 60,62  62 52011312,KIANTONE CREEK,NYSDOT,1969,10,8
16402,1,Washington,Jackson (Town),3 MI.E OF GREENWICH,BATTEN-DUGAN ROAD,BATTEN KILL,County,1916,10,8
4382,8,Dutchess,East Fishkill (Town),0.1 MI N JCT RTS 376+52,376  376 82011101,GAYHEAD POND STREAM,NYSDOT,1935,10,8
11570,9,Otsego,New Lisbon (Town),0.3 MI W OF NEW LISBON,COUNTY ROAD 12,BUTTERNUT CREEK,County,2015,10,8
1255,9,Broome,Johnson City (Village),VILLAGE OF JOHNSON CITY,WEGMANS-ENTRANCE,FINCH HOLLOW CRK,Village,1990,10,8
10067,3,Onondaga,De Witt (Town),1.1 MI N JCT RTS I481&298,481I481I33012107,TAFT ROAD  CR 18,NYSDOT,1985,10,8
12518,1,Rensselaer,Schodack (Town),2.9 MI W JCT I90 & SH 150,150 150 14011022,BROOKVIEW STA RD,NYSDOT,1899,10,9
5454,5,Erie,Tonawanda (Town),.8 MI W JCT I290 & US 62,290I 290I53011042,PARKER BOULEVARD,NYSDOT,1965,10,9
10262,3,Onondaga,Salina (Town),JCT OF RTS 11 + I-90,11 1133033008,90IX,NYS Thruway Authority,2004,10,9
12111,11,Queens,New York (City),.6 MI NW JCT I278 & SH 25,BROADWAY/37TH AVE,278I278IX5M34029,City,1955,10,9
16827,8,Westchester,Mamaroneck (Village),AT MARMARONECK,JEFFERSON AVENUE,MAMARONECK RIVER,Village,2013,10,9
6242,1,Greene,Ashland (Town),0.1 MILES N OF ASHLAND,SUTTON HOLLOW RD,WEST HOLLOW BROOK,County,1998,10,9
2893,6,Chemung,Southport (Town),.1 MI S JCT SR 328 & SR14,14  14 62011044,SEELEY CREEK,NYSDOT,2001,10,9
14961,10,Suffolk,Southampton (Town),SOUTH OF PONQUOGUE-BEACH,PONQUOGUE AV-CR32,SHINNECOCK BAY,County,1988,10,9
2986,9,Chenango,Bainbridge (Town),1 MI NE JCT SH 7 & SH 206,7   7 92021121,YALEVILLE BROOK,NYSDOT,1910,10,9
12349,1,Rensselaer,East Greenbush (Town),1.9 MI N EXIT 10 OF I90,90I 90I14022053,UNFINISHED ROAD,NYSDOT,1972,10,9
5453,5,Erie,Tonawanda (Town),0.8 MI W JCT RT 384 + 62,290I 290I53011041,PARKER BLVD,NYSDOT,1965,10,9
12350,1,Rensselaer,East Greenbush (Town),1.9 MI N EXIT 10 OF I90,90I 90I14022053,UNFINISHED ROAD,NYSDOT,1972,10,9
2999,9,Chenango,Bainbridge (Town),.9 Mi N Jct Rt 206,COUNTY ROAD 17,KELSEY CREEK,County,2012,10,9
11629,9,Otsego,Otsego (Town),3.6 MI NW COOPERSTOWN,28  28 94033247,OAKS CREEK,NYSDOT,1994,10,9
3097,9,Chenango,Norwich (Town),11 MI NE JCT RTE 320 + 12,320 320 92011010,THOMPSON CREEK,NYSDOT,2010,10,9
5589,1,Essex,Jay (Town),RT 9N AT UPPER JAY,9N   9N12031580,E BR AUSABLE RIVE,NYSDOT,1954,10,9
3794,3,Cortland,Preble (Town),1 MILE SE OF PREBLE,CR108B PREBLE RD,WB TIOUGHNIOGA RV,County,2012,10,9
7065,7,Jefferson,Watertown (Town),JCT RTE 3 + I-81,3   3 73021292,81I 81I73051226,NYSDOT,2008,10,9
1747,5,Cattaraugus,Hinsdale (Town),0.5 MI S JCT RTS 16 & 17,16  16 51013052,OIL CREEK,NYSDOT,1947,10,9
16608,8,Westchester,Bedford (Town),3.9 MI N EXIT 3 OF I684,CHESTNUT RIDGE RD,684I684I87011124,NYSDOT,1971,10,9
9367,5,Niagara,Niagara Falls (City),0.1M W ON NIAGARAST&RTE61,NIAGARA STREET,GILL CREEK,City,1990,10,9
13909,7,St Lawrence,Potsdam (Town),.5 MILE S BURNHAM CORNERS,COUNTY ROAD 35,TROUT BROOK,County,2010,10,9
3384,7,Clinton,Plattsburgh (Town),1.2Mi W of Jct Rte190+374,374 374 71021286,MEAD BROOK,NYSDOT,1970,10,9
11480,9,Otsego,Exeter (Town),6.6 MI NW OF COOPERSTOWN,28  28 94033277,LIDELL CREEK,NYSDOT,1994,10,9
9338,5,Niagara,Niagara Falls (City),0.8 MI S JCT RTS 265 + 62,265 X,CAYUGA CREEK,City,1949,10,9
12578,1,Rensselaer,Troy (City),FIRST ST IN TROY SOUTH,FIRST STREET,POESTEN KILL,City,1900,10,9
6496,2,Hamilton,Indian Lake (Town),2.6 MI SE VIL INDIAN LAKE,CR4 BIG BROOK ROAD,BEAVER MEADOW STR,County,2014,10,9
6500,2,Hamilton,Indian Lake (Town),4 MILES SW OF INDIAN LAKE,MCCORMICK ROAD,RAINBOW LK OUTLET,County,1922,10,9
10605,4,Ontario,Victor (Town),JCT RTS I90 + 96,90IX,NYS Route 96,NYSDOT,1953,10,9
2870,6,Chemung,Horseheads (Town),0.10 mi south of CR 51,CR77 INDUSTRIAL P,LATTA BROOK,County,1975,10,9
6522,2,Hamilton,Long Lake (Town),0.4 MI SW OF DEERLAND,CR3 NORTH POINT RD,SOUTH POND OUTLET,County,1930,10,9
7418,7,Lewis,Lowville (Village),IN LOWVILLE,12  12 74051216,MILL CREEK,NYSDOT,1913,10,9
10593,4,Ontario,Victor (Town),1.6 MI W JCT RTE 96 & 332,96  96 44041224,Fish Creek,NYSDOT,1993,10,9
10376,3,Onondaga,Syracuse (City),E END CASTLE ST SYRACUSE,FINEVIEW PLACE,RENWICK AVENUE,City,1973,10,9
2925,6,Chemung,Van Etten (Town),1.2 MI W OF VAN ETTEN,CR03 WYNCOOP CRK,CAYUTA CREEK,County,1952,10,9
581,6,Allegany,Genesee (Town),SR 417-1 MI E OF CERES,417  17 61031034,LITTLE GENESEE CK,NYSDOT,2000,10,9
2892,6,Chemung,Southport (Town),.3 MI S JCT SR 328 & SR14,14  14 62011042,SOUTH CREEK,NYSDOT,2001,10,9
4040,9,Delaware,Hancock (Town),JCT RTS 17 & 30,17  17 93081229,30  30 93011000,NYSDOT,1961,10,9
12483,1,Rensselaer,Schaghticoke (Town),.2 MILE E OF STILLWATER,915CX OLD RTE 67,CHAMPLAIN CANAL,NYSDOT,1959,10,9
2979,9,Chenango,Afton (Town),1/4 mi. north of NY 206,COUNTY ROAD 17,TRIB.KELSEY CREEK,County,2012,10,9
12670,11,Richmond,New York (City),AT WEST NEW BRIGHTON,ARTHUR KILL RD,SIRT SOUTH SHORE,Metropolitan Transportation Authority,1939,10,9
7378,7,Lewis,Harrisburg (Town),4.5 MI NE OF NEW BOSTON,COUNTY ROAD 25,COBB CREEK,County,1968,10,9
16484,4,Wayne,Clyde (Village),JCT OF SH 414 & BARGE CNL,414 414 37051044,CSX TRANS/AMTRAK,NYSDOT,1970,10,9
12445,1,Rensselaer,Poestenkill (Town),3.75 MI E OF POESTENKILL,PLANK ROAD,POESTEN KILL,County,1982,10,9
9128,11,New York,New York (City),JCT I87+I95,RAMP TO US 1,RAMP TO 95I & 87I,NYSDOT,1961,10,9
6416,1,Greene,Lexington (Town),3.5 MI NW LEXINGTON,FALKE ROAD,LITTLE WEST KILL,County,1989,10,9
3450,8,Columbia,Canaan (Town),2.1 M SW OF CANAAN,90IXWB,FRISBEE CREEK,NYS Thruway Authority,1957,10,9
3448,8,Columbia,Canaan (Town),2.6 M SW OF CANAAN,90IXEB,FRISBEE CREEK,NYS Thruway Authority,1957,10,9
10500,4,Ontario,Gorham (Town),1 MI NE OF RUSHVILLE,BLODGETT ROAD,WEST RIVER,Town,2004,10,9
4039,9,Delaware,Hancock (Town),JCT RTS 17 & 30,17  17 93081229,30  30 93011000,NYSDOT,1961,10,9
5047,5,Erie,Colden (Town),AT COLDEN,240 240 53011104,W BR CAZENOVIA CK,NYSDOT,2008,10,9
9307,5,Niagara,Newfane (Town),2.3 MILES S OF NEWFANE,JACQUES ROAD,EIGHTEEN MILE CRK,County,1957,10,9
7738,2,Madison,Lebanon (Town),S EATON W HAMILTON NY,ARMSTRONG ROAD,CHENANGO FEEDER,NYSDOT,1967,10,9
6136,4,Genesee,Bethany (Town),1.1 MI N OF E. BETHANY,LITTLE CANADA RD,BLACK CREEK,County,1990,10,9
9541,2,Oneida,Camden (Town),IN WESTDALE,CEMETERY ROAD,W BR FISH CREEK,County,2012,10,9
3983,9,Delaware,Deposit (Town),1.4 MI N JCT RTS 8 + 10,8   8 93011014,E BRCOLDSPRING CK,NYSDOT,1932,10,9
6162,4,Genesee,Darien (Town),1.2 MI SW DARIEN CENTER,HERKIMER ROAD,ELEVENMILE CREEK,County,1959,10,9
278,1,Albany,Menands (Village),JCT I787 & 378,378 378 11011024,787I787I11012021,NYSDOT,1971,10,9
13653,3,Seneca,Tyre (Town),JCT SH 31 & CAY & SEN CNL,31  31 35071016,ERIE CANAL/SENECA RIVER,NYSDOT,1949,10,9
9785,2,Oneida,Trenton (Town),0.6 MI SE RTE 12,OLD  POLAND ROAD,NINE MILE FEEDER,NYSDOT,1992,10,9
3993,9,Delaware,Deposit (Town),3 MI NE STILESVILLE,MILLS ROAD,E BR COLD SPRING BOOK,County,1950,10,9
5779,1,Essex,Wilmington (Town),9 MI NE JCT SH 86 & SH 73,WHITEFACE SKIAREA,W BR AUSABLE RVR,Authority or Commission - Other,1957,10,9
13871,7,St Lawrence,Oswegatchie (Town),2 MI SE JCT SH812 & SH184,812  812 75021373,BEAVER CREEK,NYSDOT,2004,10,9
13791,7,St Lawrence,Hermon (Town),1.0 MI S OF HERMON,EDWRDS-HER-CAN RD,ELM CREEK,County,2008,10,9
4946,5,Erie,Buffalo (City),1.4 MI SE JCT I190 & SH 5,SOUTH PARK AVE,CSX TRANSPRTATION,City,1981,10,9
3994,9,Delaware,Deposit (Town),3 MI NE OF HAMBLETVILLE,NETTIE AXTELL RD,COLD SPRING BROOK,County,1998,10,9
9538,2,Oneida,Camden (Town),3.5 MI SW OF CAMDEN,BABCOCK ROAD,LITTLE RIVER,Town,1986,10,9
15975,8,Ulster,Shandaken (Town),0.2 MI N JCT RTS 28+212,28  28 86012196,ESOPUS CREEK,NYSDOT,1966,10,9
