,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
14233,6,Steuben,Corning (Town),.1 MI SE JCT SR17 & SR352,352 352 64011004,NORFOLK SOUTHERN,NYSDOT,1985,6,14
7055,7,Jefferson,Watertown (City),IN WATERTOWN-OVER BLACK R,3   3 73023299,BLACK RIVER,NYSDOT,1982,6,14
6336,1,Greene,Durham (Town),2 MI E HAMLET OF DURHAM,DEANS MILL ROAD,CATSKILL CREEK,County,1972,6,14
10327,3,Onondaga,Syracuse (City),.8 MI E JCT I-690 + 298,690I 690I33012023,N CLINTON STREET,NYSDOT,1968,6,14
11596,9,Otsego,Oneonta (Town),AT NE ONEONTA CITY LI,88I 88I94063000,NORFOLK SOUTHERN MP 552.18,NYSDOT,1971,6,14
11595,9,Otsego,Oneonta (Town),AT NE ONEONTA CITY LI,88I 88I94062044,NORFOLK SOUTHERN MP 552.18,NYSDOT,1973,6,14
3595,8,Columbia,Hillsdale (Town),1MI NW JCT Rts.71 & 22,DUGWAY ROAD,CRANSE CREEK,County,2011,6,14
16663,8,Westchester,Croton-On-Hudson (Village),JCT RTS 9+129,9   9 87032166,129  129 87011000,NYSDOT,1963,6,14
9987,3,Onondaga,Camillus (Town),1.8 MI W JCT SH 5 & SH173,BENNETT ROAD,5   5 33081317,NYSDOT,1977,6,14
2567,5,Chautauqua,Pomfret (Town),.2 MILE WEST OF LAONA,WEBSTER ROAD,CANADAWAY CREEK,County,2012,6,14
12881,8,Rockland,Orangetown (Town),.3 MI N JCT PIP & SH 303,987C 987C85011028,WESTERN HIGHWAY,Palisades Interstate Park Commission,1956,6,14
540,6,Allegany,Cuba (Town),.9 MI E JCT SR466 & CO LN,446 408 61021009,OIL CREEK,NYSDOT,1961,6,14
13605,6,Schuyler,Tyrone (Town),NW END OF TYRONE,226 226 63021047,TOBEHANNA CREEK,NYSDOT,2012,6,14
17491,6,Yates,Italy (Town),1.5 MI W OF ITALY,COUNTY ROAD 18,SEGAR GULLY,County,1977,6,14
11887,11,Queens,New York (City),RAMP TO BQE EB OV 32ND AV,278I 278IX5M33033,278I EB TO GCP EB,NYSDOT,2004,6,14
12203,11,Queens,New York (City),JFK INTERNATIONAL AIRPORT,JICTCW,JFK RELIEF,Port Authority of NY and NJ,1992,6,14
16811,8,Westchester,Mamaroneck (Town),2.6 MI N JCT I-95 & US-1,CHATSWORTH AVE RAMP,95IX,NYS Thruway Authority,1953,6,14
9913,2,Oneida,Vienna (Town),4.5 MI SE OF MCCONNELLVIL,OSWEGO ROAD,FISH CREEK,Town,1975,6,14
15997,8,Ulster,Shandaken (Town),0.8 MI S OF OLIVEREA,BURNHAM HOLLOW ROAD,ESOPUS CREEK,County,1964,6,14
630,6,Allegany,New Hudson (Town),1.6 MI SW OF BLACK CREEK,305 305 61021171,BLACK CREEK,NYSDOT,1966,6,14
2186,5,Chautauqua,Carroll (Town),1.2 MI N OF FREWSBURG,CR 55/CR 317,CONEWANGO CREEK,County,1941,6,14
9831,2,Oneida,Utica (City),JCT SH 5A & SH 5S,FROM I790 SOUTHBD,5A,NYSDOT,1990,6,14
12325,1,Rensselaer,Berlin (Town),6.1 MI E OF POESTENKILL,DUTCH CHURCH ROAD,POESTEN KILL,County,1989,6,14
5481,5,Erie,Wales (Town),2 MILES NE OF SOUTH WALES,WARNER HILL ROAD,HUNTERS CREEK,County,1983,6,14
994,11,Bronx,New York (City),1 MI NE I95 &HTCHSN R PKY,ORCHARD BEACH RD,908A908AX1M11033,NYSDOT,1940,6,14
10965,8,Orange,Wallkill (Town),3.4 MI SW BLOOMINGBURGH,BROLA ROAD,LITTLE SHAWANGUNK KILL,County,1929,6,14
10167,3,Onondaga,Lafayette (Town),ONON CR .5 MI W CARDIFF,CR234 TULLY FARMS,ONONDAGA CREEK,County,1952,6,14
8039,4,Monroe,Greece (Town),5.5MI E JCT LOSP+RTE 261,947A947A43021201,ROUND POND CREEK,NYSDOT,1955,6,14
5159,5,Erie,Evans (Town),3.3 MI W OF EDEN,90IX EXIT 57A RAMP EDEN-ANGOLA,90IX,NYS Thruway Authority,1971,6,14
7319,11,Kings,New York (City),NEAR PROSPECT PARK,UNION STREET,NYCTA FRANKLIN LN,Transit Authority,1917,6,14
12902,8,Rockland,Orangetown (Town),1.5 MI NW OF SPARKILL,ORANGEBURG ROAD,CSX Transportation,County,2016,6,14
9022,11,New York,New York (City),5.6 MI NE FDR DR+ROUTE 25,907P907PX4M12022,907P 907PX4MR05A1,NYSDOT,1966,6,14
7781,2,Madison,Oneida (City),3.8 MI W EXIT 33 OF I90,90IX,ONEIDA CREEK,NYS Thruway Authority,1993,6,14
12286,11,Queens,New York (City),JFK INTERNATIONAL AIRPORT,VICTCN,CTCWJO,Port Authority of NY and NJ,1992,6,14
12261,11,Queens,New York (City),AT JFK INT:L AIRPORT,SOUTH SERVICE RD,NORTH SERVICE RD,Port Authority of NY and NJ,2014,6,14
11912,11,Queens,New York (City),JCT I495+I78,295I295IX5MR04B1,495I 495IX5M13109,NYSDOT,1960,6,14
7121,11,Kings,New York (City),ADJACENT TO FURMAN STREET,278I278IX2M23075,278I278IX2M24075,City,1944,6,14
10121,3,Onondaga,Geddes (Town),IN SOLVAY,297 297 33011019,CSX TRANS/ AMTRAK,NYSDOT,1977,6,14
11848,11,Queens,New York (City),1.7 MI SE JCT I678 & SH25,109TH AVENUE,678I678IX5M11018,NYSDOT,1948,6,14
10778,8,Orange,Highland Falls (Village),1.2 MI E JCT RTE 218+9W,980W980W83011002,HIGHLAND BROOK,NYSDOT,1945,6,14
7271,11,Kings,New York (City),IN BENSONHURST,KINGS HIGHWAY,NYCTA SEA BEACH,Transit Authority,2001,6,14
17119,8,Westchester,Scarsdale (Village),3.1 MI NE OF TUCKAHOE,HEATHCOTE ROAD,HEATHCOTE BYPASS,Village,1910,6,14
15907,8,Ulster,Rochester (Town),1.9 MI SE OF KERHONKSON,BRIDGE ROAD,STONY KILL,County,1955,6,14
1034,11,Bronx,New York (City),.6 MI NE H.HUDSON BR+9A,WEST 232ND STREET,907V907VX1M21005,City,1937,6,14
15909,8,Ulster,Rochester (Town),1.5 MI N OF ACCORD,CANYON LAKE RD,NORTH PETERS KILL,County,1929,6,14
8416,4,Monroe,Webster (Town),2.9MI E JCT RTS 104+47,FIVE MILE LINE RD,104 104 43035251,NYSDOT,1969,6,14
9869,2,Oneida,Verona (Town),1.7 MI E JCT RTS 46 & 49,46  46 26021106,STONEY CREEK,NYSDOT,1991,6,14
15872,8,Ulster,Marbletown (Town),0.9 MI SE OF KRIPPLEBUSH,OLD ROUTE 209,KRIPPLEBUSH CREEK,Town,1927,6,14
8188,4,Monroe,Ogden (Town),1.2MI W JCT BARGE C + 259,TRIMMER ROAD,ERIE CANAL,NYSDOT,1909,6,14
9711,2,Oneida,Rome (City),3.6 MI N JCT RTS 26 & 46,46  46 26023026,MOHAWK RIVER,NYSDOT,1991,6,14
5127,5,Erie,Elma (Town),1.5 MI E JCT SH400 &CR242,400  400 53011069,B&P RR,NYSDOT,1971,6,14
14238,6,Steuben,Corning (Town),0.6 MI SW OF S.CORNING,BAILEY CREEK ROAD,BAILEY CREEK,Town,1986,6,14
16396,1,Washington,Hudson Falls (Village),0.5 MI. N. RTE. 196 INTER,4   4 18031134,GLENS FALLS FEEDER CANAL,NYSDOT,2017,6,14
12762,8,Rockland,Chestnut Ridge (Village),1.6 MI S OF I-287,GSP CONNECTOR SB,WILLIAMS ROAD,NYS Thruway Authority,1956,6,14
12761,8,Rockland,Chestnut Ridge (Village),1.8 MI SOUTH OF I-287,GSP CONNECTOR NB,WILLIAMS ROAD,NYS Thruway Authority,1956,6,14
4506,8,Dutchess,Pine Plains (Town),0.8 MI SE OF PINE PLNS,WILLOWVALE ROAD,SHEKOMEKO CREEK,County,1938,6,14
5128,5,Erie,Elma (Town),1.5 MI E JCT SH400 &CR242,400  400 53011069,B&P RR,NYSDOT,1971,6,14
12233,11,Queens,New York (City),.2 MI NE JCT I295 & I495,OCEANIA ST,495I495IX5M14110,NYSDOT,1959,6,14
2163,5,Chautauqua,Busti (Town),1 MILES SW OF BUSTI,952P952P52011020,STILLWATER CREEK,NYSDOT,1933,6,14
7145,11,Kings,New York (City),ADJACENT TO FURMAN STREET,278I278IX2M24075,278I278IX2M23075,City,1944,6,14
16498,4,Wayne,Lyons (Village),JCT OF RTE 14 + ERIE CANL,14  14 37051034,ERIE CANAL,NYSDOT,1991,6,14
2164,5,Chautauqua,Busti (Town),2.3 MI N PENN STATE LINE,952P952P52011023,BAKER CREEK,NYSDOT,1991,6,14
2037,3,Cayuga,Brutus (Town),0.3 MI SE WEEDSPORT,E. BRUTUS ST.ROAD,PUTNAM BROOK,County,2001,6,14
8466,2,Montgomery,Amsterdam (City),IN SOUTH AMSTERDAM,GILLILAND AVENUE,S CHUCTANUNDA CRK,City,1965,6,15
