,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
15794,8,Ulster,Esopus (Town),IN WEST PARK,9W  9W86031147,CSXT RIVER LINE,NYSDOT,1937,7,31
2715,6,Chemung,Baldwin (Town),1.2 MI NE OF N CHEMUNG,CR 41 FEDERAL RD,TRB BALDWIN CREEK,County,1985,7,31
16410,1,Washington,Kingsbury (Town),IN PATTEN MILLS,"CR 35, VAUGHN RD.",HALFWAY CREEK,County,1931,7,31
16897,8,Westchester,Mount Pleasant (Town),S END KENSICO RESERVOIR,LEGION DRIVE,MNRR HA LINE,Town,1930,7,31
6050,2,Fulton,Oppenheim (Town),6 MILES NW OF OPPENHEIM,COUNTY ROAD 120,BACON BROOK,County,1941,7,31
14990,9,Sullivan,Bethel (Town),AT SMALL WOOD,LAKE SHORE DRIVE,WHITE LAKE BROOK,County,2001,7,31
13230,1,Schenectady,Duanesburg (Town),JCT RT 20 & SCHTDY CO LNE,20  20 16191000,SCHOHARIE CREEK,NYSDOT,1993,7,31
15047,9,Sullivan,Fallsburg (Town),1.4 MI SE OF MOUNTAINDALE,COUNTY ROAD 55,SANDBURG CREEK,County,1932,7,31
15329,9,Sullivan,Thompson (Town),2.6 MI SO OF ROCK HILL,WOLF BK ACCESS RO,WOLF BROOK,State - Other,1988,7,31
15214,9,Sullivan,Neversink (Town),2.9 MI NE OF WILLOWEMOC,FLUGERTOWN ROAD,WILLOWEMOC CREEK,County,1970,7,31
6888,7,Jefferson,Ellisburg (Town),JCT RTS 193 + I-81,193 193 73011077,81I 81I73051047,NYSDOT,1961,7,31
15754,3,Tompkins,Ulysses (Town),1.5 MI SE OF TRUMANSBURG,DURLING ROAD,SB TAUGHANNOCK CK,County,1930,7,31
6898,7,Jefferson,Ellisburg (Town),1 MILE N JCT CR91 & I81,County Route 91,SOUTH SANDY CREEK,County,1997,7,31
16849,8,Westchester,Mount Kisco (Village),IN MOUNT KISCO,LIETO DRIVE,MNRR HA LINE,Village,1953,7,31
16335,1,Washington,Fort Ann (Town),7 MI N OF HUDSON FALLS,TRIPOLI ROAD,HALFWAY CREEK,County,1955,7,31
