,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
2990,9,Chenango,Bainbridge (Town),1 MI S JCT I88 & SH 206,88I 88I92021091,UNNAMED CREEK,NYSDOT,1974,9,25
1223,9,Broome,Fenton (Town),JCT RTS 7 + 369,88I 88I91013053,369 369 91011004,NYSDOT,1968,9,25
14529,6,Steuben,Troupsburg (Town),1.3 MI N OF PENN SL RTE36,36  36 64011015,TROUPS CREEK,NYSDOT,1978,9,25
2055,3,Cayuga,Genoa (Town),.7 MI N JCT SH 90 & SH 34,34  34 31051049,TRIB SALMON CREEK,NYSDOT,1961,9,25
13284,1,Schenectady,Rotterdam (Town),JCT RTE 103 & ERIE CANAL,103 103 16011003,ERIE CANAL-LOCK 9,NYSDOT,1914,9,25
5327,5,Erie,Newstead (Town),1.1 MI E JCT SH93 &TOW CK,CEDAR ST,TONAWANDA CREEK,County,2011,9,25
1605,5,Cattaraugus,Coldspring (Town),1 MILE WEST OF STEAMBURG,GULF ROAD,LIT CONEWANGO CRK,County,1970,9,25
2889,6,Chemung,Horseheads (Village),0.2 MI W JCT RTS 14 + 17,COUNTY ROAD 64,86I 17 6205 1065,NYSDOT,1970,9,25
15138,9,Sullivan,Liberty (Town),IN FERNDALE,COUNTY ROAD 71,MIDD MONGAUP RVR,County,1964,9,25
1224,9,Broome,Fenton (Town),JCT RTS 7 + 369,88I 88I91013053,369 369 91011004,NYSDOT,1968,9,25
14038,6,Steuben,Avoca (Town),1.4 MILES SW OF WALLACE,COUNTY ROAD 6,NEILS CREEK,County,2017,9,25
13457,9,Schoharie,Richmondville (Town),1.7 mi SW of Cobleskill,CR23A WVILLE CUTO,COBLESKILL CREEK,County,2011,9,25
17457,4,Wyoming,Warsaw (Town),.5 mi E Jct 20A & 238,20A 20A46021150,Stony Creek,NYSDOT,2007,9,25
4004,9,Delaware,Fleischmanns (Village),AT FLEISHMANNS,WAGNER AVENUE,EMORY BROOK,County,1958,9,25
2765,6,Chemung,Catlin (Town),.4 MI WEST OF SH 414,CAMPGROUND ROAD,TRIB. POST CREEK,County,1950,9,25
2766,6,Chemung,Catlin (Town),IN CHAMBERS,CAMPGROUND ROAD,POST CREEK,County,1934,9,25
13458,9,Schoharie,Richmondville (Town),2 MI SW OF COBLESKILL,CR23A WVILLE CUTO,WEST CREEK,County,2011,9,25
14307,6,Steuben,Fremont (Town),3.6 MI W OF HOWARD,RUSSELL ROAD,BIG CREEK,Town,2003,9,25
5427,5,Erie,Tonawanda (City),1.8 MI N JCT SH384 & I290,384  384 53013014,E NIAGARA STREET,NYSDOT,1930,9,25
7470,7,Lewis,Osceola (Town),TinShantyRd/E.ForkSalmon,Tin Shanty Rd,E.Fork Salmon Riv,NYS Dept of Environmental Conservation,1980,9,25
5789,7,Franklin,Bangor (Town),.2 MI E JCT SH 11B & CR10,11B 11B72021103,LITT SALMON RIVER,NYSDOT,1935,9,25
5856,7,Franklin,Dickinson (Town),IN DICKINSON CENTER,COUNTY ROAD 5,DEER RIVER,County,1997,9,25
14616,6,Steuben,,0.2 m NE of Wagner Hill,COUNTY ROAD 8,TRIB SALMON CREEK,County,2015,9,25
5790,7,Franklin,Bangor (Town),.5 MI E JCT SH 11B & CR13,11B 11B72021123,EB LIT SALMON RVR,NYSDOT,1949,9,25
16651,8,Westchester,Cortlandt (Town),2.0 MI NE CROTON ON HUDS.,CROTON GORGE PARK ROAD,CROTON RIVER,County,1940,9,25
8250,4,Monroe,Pittsford (Town),1 MI W JCT BARGE C & I490,96  96 43051037,IRONDEQUOIT CREEK,NYSDOT,1916,9,26
998,11,Bronx,New York (City),1.5 MI SE I78+I95,PENNYFIELD AVENUE,295I 295IX1M21018,NYSDOT,1961,9,26
913,11,Bronx,New York (City),EAST 158TH STREET,EAST 158TH STREET,METRO NO COMMUTER,City,1889,9,26
17409,4,Wyoming,Java (Town),2 MI NW OF CURRIERS,MICHIGAN ROAD,Trib Brown Brook,County,1955,9,26
15900,8,Ulster,Plattekill (Town),0.9 MI.S. STE. RTE.55/I87,FREETOWN ROAD,87IX,NYS Thruway Authority,1954,9,26
15824,8,Ulster,Hardenburgh (Town),1.1 MI N OF TURNWOOD,CROSS MOUNTAIN RD,ALDER CREEK,County,1994,9,26
1529,5,Cattaraugus,Allegany (Town),0.6 MI NE JCT 17 + 417,86I 17 51123130,FIVE MILE CREEK,NYSDOT,1973,9,26
15833,8,Ulster,Hardenburgh (Town),3.0 MI E OF GRANT MILLS,MILL BROOK RD,MILL BROOK,County,2001,9,26
1530,5,Cattaraugus,Allegany (Town),0.6 MI NE JCT 17 + 417,86I 17 51123130,Five Mile Creek,NYSDOT,1973,9,26
17410,4,Wyoming,Java (Town),0.8 MI SW JAVA VILLAGE,MICHIGAN ROAD,PLATO CREEK,County,1986,9,26
11041,8,Orange,Wawayanda (Town),2.7MI SE OF MIDDLETOWN,GOLF LINKS ROAD,MONHAGEN BROOK,County,1995,9,26
16224,1,Warren,Johnsburg (Town),2.5 M NE OF 13TH LAKE,TR510 HARVEY ROAD,THIRTEENTH BROOK,Town,1935,9,26
11233,3,Oswego,Granby (Town),2.5 MI S OF FULTON,48  48 34021029,OX CREEK,NYSDOT,1994,9,26
14152,6,Steuben,Campbell (Town),2.1 MI NW OF COOPER PLNS,COUNTY ROAD 4,COHOCTON RIVER,County,1988,9,26
14153,6,Steuben,Campbell (Town),2.5 MI SW OF CURTIS,COUNTY ROAD 4,CURTIS CREEK,County,2000,9,26
7673,2,Madison,Canastota (Village),0.33 MI SW OF CANASTOTA,CR6 NEW BOSTON STREET,OWLVILLE CREEK,Village,1965,9,26
9944,2,Oneida,Westmoreland (Town),EXIT  32 OF I90,EXIT 32 RAMP,90IX,NYS Thruway Authority,2002,9,26
9005,11,New York,New York (City),.9 MI NE FDR DR+BATTERY,907L 907LX4MR03D1,SOUTH STREET,City,1954,9,26
16113,8,Ulster,Wawarsing (Town),AT NAPANOCH,INSTITUTION ROAD,RONDOUT CREEK,County,1934,9,26
14154,6,Steuben,Campbell (Town),2.3 MI SW OF CURTIS,COUNTY ROAD 4,CURTIS CREEK,County,2000,9,26
11068,8,Orange,Woodbury (Town),AT HARRIMAN INT OF I87,EX16 RMP TO I87SB,MNCRR,NYS Thruway Authority,2004,9,26
16104,8,Ulster,Wawarsing (Town),1.0 MI SW OF ELLENVILLE,ARROWHEAD ROAD,SANDBURG CREEK,County,1970,9,26
10198,3,Onondaga,Manlius (Town),.6 MI E EXIT 34A OF I90,FREMONT RD CR 136,90IX,NYS Thruway Authority,2002,9,26
17160,8,Westchester,White Plains (City),1.9 MI W JCT RTS I287+HRP,287I287I87011057,MAMARONECK RIVER,NYSDOT,1961,9,26
4650,5,Erie,Alden (Town),.2 MI S JCT SH 33 & CR 1,ALDEN CRTTNDEN RD,CSX TRANS/ AMTRAK,County,1990,9,26
11639,9,Otsego,Pittsfield (Town),1.4 MI E JCT RTS 80 & 8,80  80 94041011,WHARTON CREEK,NYSDOT,1999,9,26
3058,9,Chenango,Guilford (Town),2.1 MI SE OF GUILFORD CTR,ROBINSON ROAD,GUILFORD CREEK,County,1978,9,26
17162,8,Westchester,White Plains (City),0.6 MI W JCT I287+HRP,684I684I87011003,BRYANT AVE,NYSDOT,1969,9,26
1081,9,Broome,Binghamton (City),JCT I81 & CHENANGO RIVER,17  17 91012016,11  11 91012045,NYSDOT,2014,9,26
3053,9,Chenango,Guilford (Town),0.4 MI SE OF GUILFORD CTR,COUNTY ROAD 35,GUILFORD CREEK,County,1975,9,26
5244,5,Erie,Holland (Town),7.0 MI SE JCT RTS 16 & 78,16  16 53021112,E BR CAZENOVIA CK,NYSDOT,1994,9,26
1290,9,Broome,Kirkwood (Town),JCT RTS 990F+17 CONNECTOR,990FX,Park Creek,NYSDOT,1962,9,26
9527,2,Oneida,Boonville (Town),3 MI NE OF BOONVILLE,PINES ROAD,CUMMINGS CREEK,Town,1975,9,26
15389,9,Tioga,Candor (Town),5.2 MILES NE OF CANDOR,96B 96B65011053,WILLSEYVILLE CREEK,NYSDOT,2001,9,26
5281,5,Erie,Lancaster (Town),.2 MI S JCT WAL AVE&CR341,CEMETERY ROAD,CSX TRANS/ AMTRAK,County,1990,9,26
5283,5,Erie,Lancaster (Town),1 MI E OF LANCASTER LINE,CEMETERY ROAD,N BR PLUM BOTTOM,County,2011,9,26
6999,7,Jefferson,Pamelia (Town),I781 over I81,781I,81 I,NYSDOT,2012,9,26
5284,5,Erie,Lancaster (Town),.4 MI N OF LANCASTER LINE,CENTRAL AVENUE,SCAJAQUADA CREEK,County,1940,9,26
12606,11,Richmond,New York (City),W OF I278 & THE NARROWS,278I278IX6M13078,LILY POND AVENUE,MTA Bridges and Tunnels (aka TBTA),1961,9,26
5292,5,Erie,Lancaster (Town),1.7 MI S JCT SH33 & CR105,PAVEMENT ROAD,CSX TRANS/ AMTRAK,County,2012,9,26
