,Region,County,Municipality,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Month of inspection,Day of inspection
3805,3,Cortland,Solon (Town),2.1 MI SE OF MCGRAW,MCGRAW MARATHON RD,SMITH BROOK,County,1932,12,10
5144,5,Erie,Elma (Town),3.2 MI N JCT CR422&BUF CK,GIRDLE ROAD,BUFFALO CREEK,County,1948,12,10
9040,11,New York,New York (City),6.4 MI NE ROUTE 9A+79 ST,907V907VX4M12135,DYCKMAN STREET,NYSDOT,1939,12,10
16645,8,Westchester,Cortlandt (Town),3.7 MI N JCT RTS 9A+129,9A  9A87032227,MNRR HU LINE,NYSDOT,1935,12,10
4923,5,Erie,Buffalo (City),3.7 MI NE JCT RTS 33 + 5,HOSPITAL DRIVE,33  33 53011047,NYSDOT,1968,12,10
10389,3,Onondaga,Syracuse (City),JCT I81 & I481,I81 SB RAMP TO I4,81I 81I33032014,NYSDOT,1980,12,10
16962,8,Westchester,New Rochelle (City),1.5 MI NE OF PELHAM MANOR,CENTRE AVENUE,MNRR NH  LINE,Railroad,1886,12,10
4905,5,Erie,Buffalo (City),4.0 MI NE JCT RTS 33 + 5,DEERFIELD AVENVE,33  33 53011050,NYSDOT,1968,12,10
4339,8,Dutchess,Clinton (Town),1.3 MI NW OF CLINTN CORS,987G987G82031259,SCHULTZVILLE ROAD CR 12,NYSDOT,1945,12,10
4567,8,Dutchess,Red Hook (Town),2.1 MI W JCT RTS 199+308,199 199 82021076,LAKES KILL,NYSDOT,1949,12,10
11799,8,Putnam,Southeast (Town),0.9 MI E I84 INT 19,84I 84IX,MNRR BE LINE,NYSDOT,1968,12,10
73,1,Albany,Albany (City),DOWNTOWN ALBANY,DUNN WB TO I787SB,787I787I11011019,NYSDOT,1973,12,10
74,1,Albany,Albany (City),E.S.PLAZA RAMP & NB I787,EM ST PLZA ARTERY,787I787I11011011,NYSDOT,1972,12,10
75,1,Albany,Albany (City),E.S.PLAZA & SB I787,EM ST PLZA ARTERY,787I787I11011011,NYSDOT,1972,12,10
31,1,Albany,Albany (City),I787 SB RAMP & BROADWAY,787I SB to 9&20EB,787I787I11011018,NYSDOT,1972,12,10
11798,8,Putnam,Southeast (Town),0.9 MI E I84 INT 19,84I 84IX,MNRR BE LINE,NYSDOT,1968,12,10
8323,4,Monroe,Rochester (City),JCT I490 EAST + AVERILL,AVERILL AVENUE,490I490I43022041,NYSDOT,1959,12,10
